treatment,freeze.time,number,dens,log.dens
E,8,1,0.416587112,
E,8,2,0.37326969,
E,8,3,0.20938743,
E,8,1,0.451639099,
E,8,2,0.421806214,
E,8,3,0.362225926,
C,8,1,0.364215807,
C,8,2,0.351920388,
C,8,3,0.391479562,
C,8,1,0.532488375,
C,8,2,0.505328999,
C,8,3,0.46714127,
E,8,1,0.503358175,
C,8,1,0.378323673,
E,8,2,0.424556077,
C,8,2,0.305363879,
E,8,3,0.320406661,
C,8,3,0.358956666,
E,8,4,0.599990316,
E,8,5,0.421169862,
E,8,6,0.496658919,
E,8,4,0.613661387,
E,8,5,0.458626239,
E,8,6,0.523291268,
E,8,4,0.264618736,
E,8,5,0.442222222,
E,8,6,0.39912854,
C,8,4,0.533922289,
C,8,4,0.486002754,
C,8,4,0.480572128,
C,8,5,0.51204681,
C,8,5,0.546007343,
C,8,5,0.588955178,
E,6,1,0.303420843,
E,6,2,0.325377884,
E,6,3,0.425696102,
E,6,1,0.538787024,
E,6,2,0.299183656,
E,6,3,0.519553789,
E,6,1,0.459793909,
E,6,2,0.173705033,
E,6,3,0.501288067,
E,6,4,0.843114468,
E,6,5,0.489298857,
E,6,6,0.61272516,
E,6,4,0.779749301,
E,6,5,0.530109257,
E,6,6,0.557169476,
E,6,4,0.578518519,
E,6,5,0.549934641,
E,6,6,0.520915033,
E,4,1,0.468337311,
E,4,2,0.352704853,
E,4,3,0.593914081,
E,4,1,0.490276531,
E,4,2,0.393255546,
E,4,3,0.463307262,
C,4,1,0.486964389,
C,4,2,0.378443951,
C,4,3,0.518093593,
C,4,4,0.436960276,
C,4,5,0.325108973,
C,4,6,0.395838474,
C,4,1,0.561293774,
C,4,2,0.399119378,
C,4,3,0.518579482,
C,4,4,0.45993992,
C,4,5,0.41080614,
C,4,6,0.488251512,
C,4,1,0.426304168,
C,4,2,0.443233048,
C,4,3,0.446131199,
E,4,1,0.38067908,
C,4,4,0.362146769,
E,4,2,0.321927711,
C,4,5,0.40135816,
E,4,3,0.478159912,
C,4,6,0.44109529,
E,4,4,0.604735619,
E,4,5,0.516560139,
E,4,6,0.528229711,
E,4,4,0.585500127,
E,4,5,0.521216228,
E,4,6,0.516685017,
E,4,4,0.631372549,
E,4,5,0.582962963,
E,4,6,0.797908497,
E,2,1,0.568814638,
E,2,1,0.549814079,
E,2,1,0.561840088,
E,2,2,0.502951398,
E,2,2,0.490373476,
E,2,3,0.551442599,
E,2,3,0.574833122,
E,2,4,0.610911899,
E,2,4,0.59888564,
E,2,5,0.59182435,
E,2,5,0.613725382,
C,2,1,0.454680863,
C,2,1,0.402879682,
C,2,2,0.540740332,
C,2,2,0.563027528,
C,2,3,0.553814751,
C,2,3,0.393826821,
E,2,6,0.457301413,
E,2,6,0.456154834,
C,2,4,0.490322877,
C,2,4,0.47170244,
