treatment,shore.position,freeze.time,recovery,sample.num,rel.dens
C,H,2,2,1,0.26762738
C,H,2,2,1,0.453685992
C,H,2,2,2,0.528703621
C,H,2,2,2,0.423144654
C,H,2,2,2,0.475052062
C,H,2,2,5,1.050044912
C,H,2,2,5,0.767946697
C,H,2,2,6,0.753840751
C,H,2,2,6,0.597390762
C,H,2,20,1,0.251949676
C,H,2,20,1,0.142982091
C,H,2,20,4,0.790084539
C,H,2,20,7,0.471341551
C,H,8,2,1,0.243309315
C,H,8,2,1,0.277884049
C,H,8,2,2,0.049097116
C,H,8,2,2,0.042222222
C,H,8,2,2,0.281549354
C,H,8,2,4,0.777982618
C,H,8,2,4,0.744112427
C,H,8,20,1,0.119923484
C,H,8,20,1,0.092279185
C,H,8,20,1,0.137151187
C,H,8,20,2,0.234004193
C,H,8,20,5,0.659693366
C,H,8,20,7,0.494652022
C,L,2,2,2,0.097186481
C,L,2,2,2,0.064596822
C,L,2,2,3,0.201913575
C,L,2,2,3,0.053291405
C,L,2,2,3,0.180605312
C,L,2,2,5,0.794366739
C,L,2,2,5,0.585685628
C,L,2,2,6,0.683039242
C,L,2,2,6,0.536908245
C,L,2,20,1,0.169197118
C,L,2,20,1,0.052707433
C,L,2,20,1,0.098084132
C,L,2,20,3,0.122360974
C,L,2,2,4,0.611317849
C,L,2,20,7,0.58212624
C,L,8,2,1,0.316091954
C,L,8,2,1,0.250110359
C,L,8,2,2,0.34403917
C,L,8,2,2,0.314465409
C,L,8,2,2,0.27584929
C,L,8,2,3,0.489477736
C,L,8,2,3,0.590915604
C,L,8,2,5,0.65200597
C,L,8,2,5,0.664780085
C,L,8,20,2,0.157298744
C,L,8,20,2,0.213577676
C,L,2,20,3,0.296693918
C,L,8,8,5,0.745091749
C,L,8,20,7,0.579185322
E,H,2,2,10,0.55947678
E,H,2,2,10,0.380881577
E,H,2,2,4,0.255189569
E,H,2,2,4,0.392179223
E,H,2,2,8,0.082652053
E,H,2,2,8,0.075849057
E,H,2,2,8,0.130653894
E,H,2,2,9,0.857564481
E,H,2,2,9,0.502077662
E,H,2,20,3,0.217484277
E,H,2,20,3,0.293020383
E,H,2,20,3,0.395418576
E,H,2,20,4,0.205618449
E,H,2,20,7,0.699383866
E,H,2,20,9,0.526164324
E,H,8,2,12,0.718593627
E,H,8,2,12,0.638639743
E,H,8,2,2,0.292117001
E,H,8,2,2,0.259969099
E,H,8,2,8,0.358638038
E,H,8,2,8,0.191194969
E,H,8,2,8,0.384173261
E,H,8,2,9,0.849095342
E,H,8,2,9,0.787147156
E,H,8,20,1,0.279429076
E,H,8,20,1,0.360098826
E,H,8,20,1,0.410120783
E,H,8,20,12,0.410187539
E,H,8,20,2,0.089140461
E,H,8,20,7,0.758418111
E,L,2,2,4,0.086464231
E,L,2,2,4,0.226567098
E,L,2,2,5,0.338244542
E,L,2,2,5,0.251530398
E,L,2,2,5,0.420506485
E,L,2,2,7,0.79000385
E,L,2,2,7,0.643716865
E,L,2,2,8,0.754499166
E,L,2,2,8,0.551968919
E,L,2,20,1,0.395693944
E,L,2,20,1,0.272225654
E,L,2,20,1,0.282965431
E,L,2,20,2,0.218758422
E,L,2,2,4,0.862248171
E,L,2,20,6,0.676894039
E,L,8,2,10,0.682343128
E,L,8,2,10,0.606318957
E,L,8,2,11,0.385787025
E,L,8,2,11,0.302268694
E,L,8,2,2,0.315963287
E,L,8,2,2,0.28774279
E,L,8,2,4,0.21017878
E,L,8,2,4,0.158532495
E,L,8,2,4,0.442824789
E,L,8,20,1,0.136901698
E,L,8,20,1,0.092402718
E,L,8,20,1,0.172594752
E,L,8,20,12,0.752655605
E,L,2,20,2,0.131255053
E,L,8,8,7,0.603297831
E,L,8,20,2,0.328952589
C,L,8,20,3,0.134844277
E,H,8,20,2,0.091152549
C,H,8,20,2,0.193661972
E,L,2,20,2,0.201001785
C,L,2,20,3,0.116494743
E,H,2,20,4,0.272763341
C,H,2,20,3,0.138365404
E,H,8,2,9,0.247669113
C,H,8,2,3,0.190190438
E,H,2,2,9,0.228178933
C,H,2,2,5,0.244693513
E,L,8,20,7,0.51931573
C,L,8,20,5,0.593444981
E,H,8,20,7,0.819326004
C,H,8,20,5,0.634439536
E,L,2,20,4,0.631305867
C,L,2,20,4,0.092366177
E,H,2,20,7,0.27232097
C,H,2,20,4,0.113068941
E,L,8,2,11,0.179389705
C,L,8,2,5,0.603411076
E,L,2,2,8,0.603770677
C,L,2,2,6,0.586818042
E,L,8,20,7,0.340943769
C,L,8,20,5,0.629273806
E,H,8,20,7,0.746369031
C,H,8,20,5,0.620288217
E,L,2,20,4,0.74563436
C,L,2,20,4,0.167222379
E,H,2,20,7,0.373269285
C,H,2,20,4,0.118677593
E,H,8,2,12,0.521785815
C,H,8,2,4,0.595818028
E,H,2,2,10,0.302288782
C,H,2,2,6,0.440011303
E,L,8,20,12,0.433860307
C,L,8,20,7,0.247677742
E,H,8,20,12,0.455921758
C,L,2,20,7,0.512370489
E,H,2,20,9,0.101509468
E,L,8,2,2,0.731064666
C,L,8,2,1,0.604099678
E,L,2,2,4,0.499419436
C,L,2,2,2,0.581502322
E,L,8,20,12,0.595458276
C,L,8,20,7,0.173132695
E,H,8,20,12,0.576470588
C,L,2,20,7,0.614008208
E,H,2,20,9,0.355896033
E,L,2,20,6,0.662818057
E,H,8,2,2,0.661887825
C,H,8,2,1,0.707086183
E,H,2,2,4,0.463857729
C,H,2,2,1,0.290341997
