treatment,position,freeze.time,recovery,number,value,rel.dens
E,L,8,2,2,14130,0.796669736
E,L,8,2,4,15383,0.86731568
E,L,8,2,10,15111,0.851979928
E,L,8,2,11,17000,0.958484467
C,L,8,2,1,16433,0.926516191
C,L,8,2,2,15538,0.876054803
C,L,8,2,3,16920,0.953973952
C,L,8,2,5,17148,0.96682892
E,H,8,2,2,21728,1.225055912
E,H,8,2,8,18761,1.057772181
E,H,8,2,9,17068,0.962318405
E,H,8,2,12,18263,1.029694225
C,H,8,2,1,19202,1.082636396
C,H,8,2,2,14891,0.839576012
C,H,8,2,3,17643,0.994737732
C,H,8,2,4,18312,1.032456915
E,L,8,20,1,18396,1.037192956
E,L,8,20,2,20355,1.147644196
E,L,8,20,7,18294,1.031442049
E,L,8,20,12,17749,1.000714165
C,L,8,20,1,18668,1.052528708
C,L,8,20,3,17566,0.990396362
C,L,8,20,5,17579,0.99112932
C,L,8,20,7,19686,1.109925013
E,H,8,20,2,19586,1.104286869
E,H,8,20,7,19552,1.1023699
E,H,8,20,11,18060,1.018248792
E,H,8,20,12,19942,1.124358661
C,H,8,20,1,18463,1.040970513
C,H,8,20,2,17142,0.966490631
C,H,8,20,5,16977,0.957187694
C,H,8,20,7,19315,1.089007499
E,L,2,2,4,17876,1.007874608
E,L,2,2,7,17116,0.965024714
E,L,2,2,8,19532,1.101242271
E,L,2,2,10,20352,1.147475051
C,L,2,2,1,20064,1.131237197
C,L,2,2,2,18911,1.066229397
C,L,2,2,3,17744,1.000432258
C,L,2,2,5,20042,1.129996805
E,H,2,2,2,18337,1.033866451
E,H,2,2,8,17904,1.009453288
E,H,2,2,9,20492,1.155368453
E,H,2,2,10,17866,1.007310793
C,H,2,2,1,19254,1.085568231
C,H,2,2,2,18393,1.037023812
C,H,2,2,5,18379,1.036234472
C,H,2,2,6,18584,1.047792667
E,L,2,20,1,18400,1.037418482
E,L,2,20,2,17566,0.990396362
E,L,2,20,4,22094,1.245691518
E,L,2,20,6,20092,1.132815877
C,H,2,20,1,19468,1.097633859
C,H,2,20,3,17745,1.000488639
C,H,2,20,4,12997,0.732789566
C,H,2,20,7,18751,1.057208367
E,H,2,20,3,16586,0.935142551
E,H,2,20,4,15975,0.900693492
E,H,2,20,7,19562,1.102933714
E,H,2,20,9,19953,1.124978857
C,L,2,20,1,16037,0.904189141
C,L,2,20,3,18757,1.057546656
C,L,2,20,4,15919,0.897536131
C,L,2,20,7,16532,0.932097953
E,L,2,2,4,16789,0.946587983
E,L,2,2,7,19013,1.071980304
E,L,2,2,8,18717,1.055291398
E,L,2,2,10,19658,1.108346332
E,L,8,2,2,16201,0.913435697
E,L,8,2,4,18118,1.021518916
E,L,8,2,10,17987,1.014132947
E,L,8,2,11,18390,1.036854667
C,L,8,2,1,19115,1.077731211
C,L,8,2,2,19022,1.072487737
C,L,8,2,3,18320,1.032907967
C,L,8,2,5,20067,1.131406341
E,H,8,2,2,15833,0.892687327
E,H,8,2,8,17730,0.999642918
E,H,8,2,9,17370,0.979345599
E,H,8,2,12,17365,0.979063692
C,H,8,2,1,17961,1.01266703
C,H,8,2,2,15370,0.866582721
C,H,8,2,3,18352,1.034712173
C,H,8,2,4,17832,1.005393824
E,L,8,2,2,10935,1.51147254
E,L,8,2,4,9307,1.286444895
E,L,8,2,10,9602,1.327220789
E,L,8,2,11,5412,0.748064873
C,L,8,2,5,9259,1.279810173
C,L,8,2,1,11178,1.545060818
C,L,8,2,2,11850,1.637946922
C,L,8,2,3,11586,1.601455953
E,H,8,2,2,9760,1.349060081
E,H,8,2,8,12214,1.688260229
E,H,8,2,9,9019,1.246636565
E,H,8,2,12,10396,1.436970144
C,H,8,2,1,10514,1.453280501
C,H,8,2,2,9798,1.354312569
C,H,8,2,3,14277,1.973415039
C,H,8,2,4,11589,1.601870623
E,L,8,20,1,6364,0.87965352
E,L,8,20,2,10568,1.460744563
E,L,8,20,7,11353,1.569249908
E,L,8,20,12,11864,1.639882049
C,L,8,20,1,9741,1.346433837
C,L,8,20,3,12495,1.727100995
C,L,8,20,5,9891,1.367167342
C,L,8,20,7,10784,1.490600811
E,H,8,20,2,11742,1.623018798
E,H,8,20,7,11302,1.562200516
E,H,8,20,11,7851,1.08519167
E,H,8,20,12,12764,1.764283081
C,H,8,20,1,12551,1.734841504
C,H,8,20,2,12095,1.671811648
C,H,8,20,5,13064,1.805750092
C,H,8,20,7,8934,1.234887578
E,L,2,2,4,9277,1.282298194
E,L,2,2,7,9212,1.273313675
E,L,2,2,8,12012,1.660339108
E,L,2,2,10,7970,1.101640251
C,L,2,2,1,9531,1.31740693
C,L,2,2,3,7787,1.076345374
C,L,2,2,2,9881,1.365785109
C,L,2,2,5,13028,1.800774051
E,H,2,2,2,11138,1.539531884
E,H,2,2,8,10614,1.467102838
E,H,2,2,9,10992,1.519351272
E,H,2,2,10,8017,1.108136749
C,H,2,2,1,13052,1.804091412
C,H,2,2,2,12961,1.791513085
C,H,2,2,5,13824,1.910799853
C,H,2,2,6,11141,1.539946554
E,L,2,20,1,10942,1.512440103
E,L,2,20,2,6819,0.942545153
E,L,2,20,4,6829,0.943927387
E,L,2,20,6,12827,1.772991154
C,H,2,20,1,10466,1.44664578
C,H,2,20,3,11638,1.608643568
C,H,2,20,4,9982,1.379745669
C,H,2,20,7,8990,1.242628087
E,H,2,20,3,11861,1.639467379
E,H,2,20,4,10287,1.421903797
E,H,2,20,7,8551,1.181948028
E,H,2,20,9,9951,1.375460745
C,L,2,20,1,8777,1.213186509
C,L,2,20,3,11996,1.658127534
C,L,2,20,4,7979,1.102884261
C,L,2,20,7,11791,1.629791743
C,L,2,2,1,6608,0.913380022
C,L,2,2,2,9669,1.336481755
C,L,2,2,3,10926,1.510228529
C,L,2,2,5,10788,1.491153704
E,L,8,20,1,9701,1.340904902
E,L,8,20,2,8388,1.159417619
E,L,8,20,7,8741,1.208210468
E,L,8,20,12,9751,1.347816071
C,L,8,20,1,8907,1.231155547
C,L,8,20,3,12924,1.78639882
C,L,8,20,5,10711,1.480510505
C,L,8,20,7,10625,1.468623295
E,H,8,20,2,8102,1.119885735
E,H,8,20,7,6648,0.918908957
E,H,8,20,11,7793,1.077174714
E,H,8,20,12,7889,1.090444158
C,H,8,20,1,7201,0.99534648
C,H,8,20,2,7032,0.971986731
C,H,8,20,5,12917,1.785431257
C,H,8,20,7,9490,1.311739771
E,H,2,2,2,15150,1.469162141
E,H,2,2,8,19648,1.905352987
E,H,2,2,9,18778,1.82098526
E,H,2,2,10,20134,1.952482545
C,H,2,2,1,19940,1.933669511
C,H,2,2,2,18304,1.775019395
C,H,2,2,5,18966,1.839216447
C,H,2,2,6,19435,1.88469744
E,L,2,20,1,16857,1.63469744
E,L,2,20,2,16387,1.589119472
E,L,2,20,4,18081,1.753394104
E,L,2,20,6,18532,1.797129558
C,L,2,20,1,12405,1.202967417
C,L,2,20,3,12502,1.212373933
C,L,2,20,4,13503,1.309445306
C,L,2,20,7,11023,1.068948798
C,H,2,20,1,13107,1.271043445
C,H,2,20,3,15964,1.548099302
C,H,2,20,4,13356,1.29519007
C,H,2,20,7,13866,1.344647013
E,H,2,20,3,11821,1.146334368
E,H,2,20,4,12916,1.252521334
E,H,2,20,7,13266,1.286462374
E,H,2,20,9,14634,1.419123351
E,L,8,2,3,12360,1.198603569
E,H,8,20,11,12990,1.25969744
E,H,8,20,11,14910,1.445888285
E,H,8,20,11,14666,1.422226532
E,L,8,2,3,8156,0.790923196
E,L,8,2,3,10794,1.04674166
E,L,8,20,11,12047,1.168250582
E,L,8,20,11,12386,1.201124903
E,L,8,20,11,11598,1.124709077
E,H,8,2,11,13063,1.266776571
E,H,8,2,11,12777,1.239041893
E,H,8,2,11,13175,1.277637704
E,L,2,2,5,10652,1.032971296
E,L,2,2,5,12849,1.24602405
E,L,2,2,5,11076,1.074088441
E,H,2,2,4,13059,1.266388673
E,H,2,2,4,12795,1.240787432
E,H,2,2,4,12761,1.237490303
E,H,2,20,6,13963,1.35405353
E,H,2,20,6,14057,1.363169123
E,L,2,20,5,10729,1.040438324
E,L,2,20,5,12348,1.197439876
E,L,2,20,5,11583,1.123254461
E,H,2,20,6,12217,1.18473623
E,L,2,20,1,14002,1.357835531
E,L,2,20,2,13670,1.325640031
E,L,2,20,4,10914,1.058378588
E,L,2,20,6,14488,1.404965089
